Sample,2bRAD_sample_id,18s Code,Taxon,Total Length (mm),Inferred Age,Photo,genus,species,Gut contents?,Latitude,Longitude,Region,Current,Cruise,Station,Date,Time,Temp (oC),Fluoro (chl-a),Salinity (psu),Bottom depth (m),Tow depth (m),Tow Length (m),Net Area (m2),Tow Volume (m3),Zoop Biomass (ml),Zpl Density (ml/m3),Moon Phase %,risen or set
S261-018-TT-K26,261-G53,,K. pelamis,5.8263,5.436222222,S261-018-TT-K26,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K27,261-G54,,K. pelamis,5.4778,4.661777778,S261-018-TT-K27,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K28,,,K. pelamis,4.5776,2.661333333,S261-018-TT-K28,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K29,261-G55,,K. pelamis,4.608,2.728888889,S261-018-TT-K29,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K3,261-G30,,K. pelamis,5.1356,3.901333333,S261-018-TT-K3,Katsuwonus,pelamis,"No, damaged",0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K30,261-G56,,K. pelamis,5.0969,3.815333333,S261-018-TT-K30,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K31,261-G57,,K. pelamis,5.3353,4.345111111,S261-018-TT-K31,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K32,261-G58,,K. pelamis,4.1861,1.791333333,S261-018-TT-K32,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K33,261-G59,,K. pelamis,N/A,N/A,S261-018-TT-K33,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K34,261-G60,,K. pelamis,4.6809,2.890888889,S261-018-TT-K34,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
